#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 04 14 08 50  50  6.0  9.0   1.2     8   5.2 117 1022.9  22.6  21.2  17.9   MM -0.6    MM
2017 04 14 07 50  70  4.0  5.0   1.1     8   5.3 118 1023.1  22.7  21.2  17.4   MM -0.7    MM
2017 04 14 06 50  70  5.0  7.0   1.0     8   5.1 125 1023.1  22.8  21.3  17.6   MM -0.7    MM
2017 04 14 05 50  80  5.0  6.0   1.1     8   5.2 112 1023.5  23.1  21.9  17.3   MM +0.0    MM
2017 04 14 04 50  70  6.0  7.0   1.0     8   5.1 105 1023.8  23.1  22.9  17.9   MM +0.0    MM
2017 04 14 03 50  80  6.0  7.0   1.0     8   5.1  98 1023.8  23.2  23.5  16.7   MM +0.9    MM
2017 04 14 02 50  90  6.0  7.0   0.9     8   5.0 116 1023.5  23.2  23.8  15.8   MM +1.0    MM
2017 04 14 01 50  80  6.0  7.0   1.0     8   5.4 125 1023.6  23.2  23.8  15.7   MM +1.2    MM
2017 04 14 00 50  80  4.0  6.0   1.0     8   5.2 120 1022.9  23.0  24.0  14.8   MM -0.0    MM
2017 04 13 23 50  80  5.0  6.0   1.0     8   5.3 131 1022.5  22.9  23.7  14.3   MM +0.0    MM
2017 04 13 22 50  70  6.0  7.0   1.0     8   5.1 117 1022.4  22.6  23.9  14.6   MM -0.8    MM
2017 04 13 21 50  60  6.0  7.0   1.0     8   5.2 122 1022.7  22.5  23.8  14.7   MM -1.3    MM
2017 04 13 20 50  40  6.0  7.0   0.9     8   4.7 133 1022.7  22.4  23.7  14.7   MM -1.9    MM
2017 04 13 19 50  30  6.0  7.0   1.0     8   5.0 109 1023.2  22.1  23.3  15.1   MM -1.3    MM
